_u1.oktmo_code,_u1.osm_name,_u1.region_code
36634000,Похвистневский район,SAM
36636000,Приволжский район,SAM
36638000,Сергиевский район,SAM
36640000,Ставропольский район,SAM
36642000,Сызранский район,SAM
36644000,Хворостянский район,SAM
36646000,Челно-Вершинский район,SAM
36648000,Шенталинский район,SAM
36650000,Шигонский район,SAM
36701000,Самара,SAM
36704000,Городской округ Жигулевск,SAM
36708000,Кинель,SAM
36713000,Городской округ Новокуйбышевск,SAM
36718000,Октябрьск,SAM
36724000,Городской округ Отрадный,SAM
36727000,Похвистнево,SAM
36735000,Сызрань,SAM
36740000,Тольятти,SAM
36750000,Чапаевск,SAM
3701000,Краснодар,KRD
3703000,Анапа,KRD
3705000,Армавир,KRD
3708000,Геленджик,KRD
3709000,Горячий Ключ,KRD
3720000,Новороссийск,KRD
3726000,Сочи,KRD
37602000,Альменевский район,KRG
37604000,Белозерский район,KRG
37606000,Варгашинский район,KRG
37608000,Далматовский район,KRG
37609000,Звериноголовский район,KRG
37610000,Каргапольский район,KRG
37612000,Катайский район,KRG
37614000,Кетовский район,KRG
37616000,Куртамышский район,KRG
37618000,Лебяжьевский район,KRG
37620000,Макушинский район,KRG
37622000,Мишкинский район,KRG
37624000,Мокроусовский район,KRG
37626000,Петуховский район,KRG
37628000,Половинский район,KRG
37630000,Притобольный район,KRG
37632000,Сафакулевский район,KRG
37634000,Целинный район,KRG
37636000,Частоозерский район,KRG
37638000,Шадринский район,KRG
37640000,Шатровский район,KRG
37642000,Шумихинский район,KRG
37644000,Щучанский район,KRG
37646000,Юргамышский район,KRG
37701000,городской округ Курган,KRG
37705000,городской округ Шадринск,KRG
38602000,Беловский район,KUR
38603000,Большесолдатский район,KUR
38604000,Глушковский район,KUR
38606000,Горшеченский район,KUR
38608000,Дмитриевский район,KUR
38610000,Железногорский район,KUR
38612000,Золотухинский район,KUR
38614000,Касторенский район,KUR
38616000,Конышевский район,KUR
38618000,Кореневский район,KUR
38620000,Курский район,KUR
38621000,Курчатовский район,KUR
38622000,Льговский район,KUR
38623000,Мантуровский район,KUR
38624000,Медвенский район,KUR
38626000,Обоянский район,KUR
38628000,Октябрьский район,KUR
38630000,Поныровский район,KUR
38632000,Пристенский район,KUR
38634000,Рыльский район,KUR
38636000,Советский район,KUR
38638000,Солнцевский район,KUR
38640000,Суджанский район,KUR
38642000,Тимский район,KUR
38644000,Фатежский район,KUR
38646000,Хомутовский район,KUR
38648000,Черемисиновский район,KUR
38650000,Щигровский район,KUR
38701000,Курск,KUR
38705000,Железногорск,KUR
38708000,Курчатов,KUR
38710000,Льгов,KUR
38715000,Щигры,KUR
41603000,Бокситогорский район,SPB
41606000,Волосовский район,SPB
41612000,Всеволожский район,SPB
41615000,Выборгский район,SPB
41618000,Гатчинский район,SPB
41621000,Кингисеппский район,SPB
41624000,Киришский район,SPB
41625000,Кировский район,SPB
41630000,Ломоносовский район,SPB
41633000,Лужский район,SPB
41636000,Подпорожский район,SPB
41639000,Приозерский район,SPB
41642000,Сланцевский район,SPB
41645000,Тихвинский район,SPB
41648000,Тосненский район,SPB
41754000,Сосновоборский городской округ,SPB
42603000,Воловский район,LIP
42606000,Грязинский район,LIP
42609000,Данковский район,LIP
42612000,Добринский район,LIP
42615000,Добровский район,LIP
42618000,Долгоруковский район,LIP
42621000,Елецкий район,LIP
42624000,Задонский район,LIP
42627000,Измалковский район,LIP
42630000,Краснинский район,LIP
42633000,Лебедянский район,LIP
42636000,Лев-Толстовский район,LIP
42640000,Липецкий район,LIP
42642000,Становлянский район,LIP
42645000,Тербунский район,LIP
42648000,Усманский район,LIP
42652000,Хлевенский район,LIP
42656000,Чаплыгинский район,LIP
42701000,Липецкий городской округ,LIP
42715000,Елец,LIP
44601000,Ольский район,MAG
44604000,Омсукчанский район,MAG
44607000,Северо-Эвенский район,MAG
44610000,Среднеканский район,MAG
44613000,Сусуманский район,MAG
44616000,Тенькинский район,MAG
44619000,Хасынский район,MAG
44622000,Ягоднинский район,MAG
44701000,Магадан,MAG
