dt,hour,tid,gender,age,customers_cnt
2016-02-01,20,Himki,1,1,65
2016-02-01,20,Himki,1,2,169
2016-02-01,20,Himki,1,3,106
2016-02-01,20,Himki,1,4,26
2016-02-01,20,Himki,2,1,30
2016-02-01,20,Himki,2,2,131
2016-02-01,20,Himki,2,3,64
2016-02-01,20,Himki,2,4,27
2016-02-01,20,Metropolis,1,1,61
2016-02-01,20,Metropolis,1,2,144
2016-02-01,20,Metropolis,1,3,60
2016-02-01,20,Metropolis,1,4,60
2016-02-01,20,Metropolis,2,1,83
2016-02-01,20,Metropolis,2,2,102
2016-02-01,20,Metropolis,2,3,38
2016-02-01,20,Metropolis,2,4,43
2016-02-01,20,Shuka,1,1,11
2016-02-01,20,Shuka,1,2,95
2016-02-01,20,Shuka,1,3,41
2016-02-01,20,Shuka,1,4,15
2016-02-01,20,Shuka,2,1,8
2016-02-01,20,Shuka,2,2,65
2016-02-01,20,Shuka,2,3,19
2016-02-01,20,Shuka,2,4,19
2016-02-01,21,Himki,1,1,18
2016-02-01,21,Himki,1,2,93
2016-02-01,21,Himki,1,3,38
2016-02-01,21,Himki,2,1,19
2016-02-01,21,Himki,2,2,53
2016-02-01,21,Himki,2,3,19
2016-02-01,21,Himki,2,4,19
2016-02-01,21,Metropolis,1,1,65
2016-02-01,21,Metropolis,1,2,76
2016-02-01,21,Metropolis,1,3,46
2016-02-01,21,Metropolis,1,4,57
2016-02-01,21,Metropolis,2,1,30
2016-02-01,21,Metropolis,2,2,45
2016-02-01,21,Metropolis,2,3,11
2016-02-01,21,Metropolis,2,4,4
2016-02-01,21,Shuka,1,1,8
2016-02-01,21,Shuka,1,2,82
2016-02-01,21,Shuka,1,3,19
2016-02-01,21,Shuka,1,4,11
2016-02-01,21,Shuka,2,1,19
2016-02-01,21,Shuka,2,2,45
2016-02-01,21,Shuka,2,3,11
2016-02-01,21,Shuka,2,4,8
2016-02-01,22,Himki,1,1,15
2016-02-01,22,Himki,1,2,56
2016-02-01,22,Himki,1,3,42
2016-02-01,22,Himki,1,4,19
2016-02-01,22,Himki,2,1,4
2016-02-01,22,Himki,2,2,34
2016-02-01,22,Himki,2,3,11
2016-02-01,22,Himki,2,4,15
2016-02-01,22,Metropolis,1,1,34
2016-02-01,22,Metropolis,1,2,30
2016-02-01,22,Metropolis,1,3,42
2016-02-01,22,Metropolis,1,4,4
2016-02-01,22,Metropolis,2,1,11
2016-02-01,22,Metropolis,2,2,30
2016-02-01,22,Metropolis,2,3,15
2016-02-01,22,Metropolis,2,4,18
2016-02-01,22,Shuka,1,1,19
2016-02-01,22,Shuka,1,2,7
2016-02-01,22,Shuka,1,3,8
2016-02-01,22,Shuka,1,4,8
